RT	WT	ST	TT	Nombre de Proceso
1	1666	9	1675	firmar_mensaje-7
5	1667	9	1676	firmar_mensaje-10
5	1668	9	1677	firmar_mensaje-12
5	1668	9	1677	firmar_mensaje-9
5	1668	9	1677	firmar_mensaje-11
9	1669	9	1678	firmar_mensaje-15
9	1670	9	1679	firmar_mensaje-13
9	1670	9	1679	firmar_mensaje-14
9	1670	9	1679	firmar_mensaje-16
13	1671	9	1680	firmar_mensaje-17
13	1672	9	1681	firmar_mensaje-20
13	1672	9	1681	firmar_mensaje-19
13	1672	9	1681	firmar_mensaje-18
17	1673	9	1682	firmar_mensaje-24
17	1674	9	1683	firmar_mensaje-21
17	1674	9	1683	firmar_mensaje-22
17	1674	9	1683	firmar_mensaje-23
1	1675	9	1684	firmar_mensaje-25
1	1676	9	1685	firmar_mensaje-26
1	1676	9	1685	firmar_mensaje-27
1	1676	9	1685	firmar_mensaje-28
5	1677	9	1686	firmar_mensaje-32
5	1678	9	1687	firmar_mensaje-30
5	1678	9	1687	firmar_mensaje-29
5	1678	9	1687	firmar_mensaje-31
9	1679	9	1688	firmar_mensaje-34
9	1680	9	1689	firmar_mensaje-33
9	1680	9	1689	firmar_mensaje-36
9	1680	9	1689	firmar_mensaje-35
13	1681	9	1690	firmar_mensaje-40
13	1682	9	1691	firmar_mensaje-37
13	1682	9	1691	firmar_mensaje-39
13	1682	9	1691	firmar_mensaje-38
17	1683	9	1692	firmar_mensaje-43
17	1684	9	1693	firmar_mensaje-44
17	1684	9	1693	firmar_mensaje-41
17	1684	9	1693	firmar_mensaje-42
1	1685	9	1694	firmar_mensaje-45
1	1686	9	1695	firmar_mensaje-48
1	1686	9	1695	firmar_mensaje-46
1	1686	9	1695	firmar_mensaje-47
5	1687	9	1696	firmar_mensaje-52
5	1688	9	1697	firmar_mensaje-49
5	1688	9	1697	firmar_mensaje-51
5	1688	9	1697	firmar_mensaje-50
9	1689	9	1698	firmar_mensaje-53
9	1690	9	1699	firmar_mensaje-56
9	1690	9	1699	firmar_mensaje-54
9	1690	9	1699	firmar_mensaje-55
13	1691	9	1700	firmar_mensaje-57
13	1692	9	1701	firmar_mensaje-58
13	1692	9	1701	firmar_mensaje-59
13	1692	9	1701	firmar_mensaje-60
17	1693	9	1702	firmar_mensaje-63
17	1694	9	1703	firmar_mensaje-62
17	1694	9	1703	firmar_mensaje-64
17	1694	9	1703	firmar_mensaje-61
1	1695	9	1704	firmar_mensaje-66
1	1696	9	1705	firmar_mensaje-65
1	1696	9	1705	firmar_mensaje-68
1	1696	9	1705	firmar_mensaje-67
5	1697	9	1706	firmar_mensaje-71
5	1698	9	1707	firmar_mensaje-72
5	1698	9	1707	firmar_mensaje-69
5	1698	9	1707	firmar_mensaje-70
9	1699	9	1708	firmar_mensaje-74
9	1700	9	1709	firmar_mensaje-75
9	1700	9	1709	firmar_mensaje-76
9	1700	9	1709	firmar_mensaje-73
13	1701	9	1710	firmar_mensaje-79
13	1702	9	1711	firmar_mensaje-77
13	1702	9	1711	firmar_mensaje-80
13	1702	9	1711	firmar_mensaje-78
17	1703	9	1712	firmar_mensaje-84
17	1704	9	1713	firmar_mensaje-83
17	1704	9	1713	firmar_mensaje-81
17	1704	9	1713	firmar_mensaje-82
1	1705	9	1714	firmar_mensaje-87
1	1706	9	1715	firmar_mensaje-86
1	1706	9	1715	firmar_mensaje-85
1	1706	9	1715	firmar_mensaje-88
5	1708	9	1717	firmar_mensaje-89
5	1708	9	1717	firmar_mensaje-91
5	1708	9	1717	firmar_mensaje-90
9	2482	12	2494	calc_nivel_confianza-3
5	2482	12	2494	calc_nivel_confianza-1
9	2482	12	2494	calc_nivel_confianza-5
13	2483	12	2495	calc_nivel_confianza-7
13	2483	12	2495	calc_nivel_confianza-6
9	2483	12	2495	calc_nivel_confianza-4
9	2483	12	2495	calc_nivel_confianza-2
13	2484	12	2496	calc_nivel_confianza-9
20	2483	12	2495	calc_nivel_confianza-12
20	2483	12	2495	calc_nivel_confianza-13
13	2484	12	2496	calc_nivel_confianza-8
20	2484	12	2496	calc_nivel_confianza-11
20	2484	12	2496	calc_nivel_confianza-10
4	2484	12	2496	calc_nivel_confianza-16
4	2484	12	2496	calc_nivel_confianza-15
4	2485	12	2497	calc_nivel_confianza-17
8	2485	12	2497	calc_nivel_confianza-18
4	2485	12	2497	calc_nivel_confianza-14
8	2489	12	2501	calc_nivel_confianza-19
12	2490	12	2502	calc_nivel_confianza-24
12	2490	12	2502	calc_nivel_confianza-22
8	2490	12	2502	calc_nivel_confianza-20
8	2490	12	2502	calc_nivel_confianza-21
12	2491	12	2503	calc_nivel_confianza-25
16	2491	12	2503	calc_nivel_confianza-26
16	2491	12	2503	calc_nivel_confianza-27
20	2491	12	2503	calc_nivel_confianza-33
20	2492	12	2504	calc_nivel_confianza-32
16	2492	12	2504	calc_nivel_confianza-28
12	2492	12	2504	calc_nivel_confianza-23
20	2492	12	2504	calc_nivel_confianza-31
16	2493	12	2505	calc_nivel_confianza-29
4	2493	12	2505	calc_nivel_confianza-35
8	2493	12	2505	calc_nivel_confianza-38
20	2493	12	2505	calc_nivel_confianza-30
4	2494	12	2506	calc_nivel_confianza-34
4	2494	12	2506	calc_nivel_confianza-37
8	2494	12	2506	calc_nivel_confianza-40
4	2494	12	2506	calc_nivel_confianza-36
12	2495	12	2507	calc_nivel_confianza-45
8	2495	12	2507	calc_nivel_confianza-41
12	2495	12	2507	calc_nivel_confianza-42
12	2495	12	2507	calc_nivel_confianza-43
16	2496	12	2508	calc_nivel_confianza-46
8	2496	12	2508	calc_nivel_confianza-39
12	2496	12	2508	calc_nivel_confianza-44
16	2496	12	2508	calc_nivel_confianza-49
16	2497	12	2509	calc_nivel_confianza-48
16	2497	12	2509	calc_nivel_confianza-47
20	2497	12	2509	calc_nivel_confianza-50
20	2497	12	2509	calc_nivel_confianza-51
4	2498	12	2510	calc_nivel_confianza-54
8	2498	12	2510	calc_nivel_confianza-61
4	2498	12	2510	calc_nivel_confianza-57
20	2498	12	2510	calc_nivel_confianza-52
4	2499	12	2511	calc_nivel_confianza-56
8	2499	12	2511	calc_nivel_confianza-59
20	2499	12	2511	calc_nivel_confianza-53
4	2499	12	2511	calc_nivel_confianza-55
8	2500	12	2512	calc_nivel_confianza-58
12	2500	12	2512	calc_nivel_confianza-65
8	2500	12	2512	calc_nivel_confianza-60
16	2500	12	2512	calc_nivel_confianza-68
12	2501	12	2513	calc_nivel_confianza-64
12	2501	12	2513	calc_nivel_confianza-62
12	2501	12	2513	calc_nivel_confianza-63
16	2501	12	2513	calc_nivel_confianza-67
20	2502	12	2514	calc_nivel_confianza-73
20	2502	12	2514	calc_nivel_confianza-71
16	2502	12	2514	calc_nivel_confianza-69
16	2502	12	2514	calc_nivel_confianza-66
20	2503	12	2515	calc_nivel_confianza-72
4	2503	12	2515	calc_nivel_confianza-74
4	2503	12	2515	calc_nivel_confianza-76
20	2503	12	2515	calc_nivel_confianza-70
8	2504	12	2516	calc_nivel_confianza-81
4	2504	12	2516	calc_nivel_confianza-77
8	2504	12	2516	calc_nivel_confianza-80
8	2504	12	2516	calc_nivel_confianza-79
4	2505	12	2517	calc_nivel_confianza-75
12	2505	12	2517	calc_nivel_confianza-82
16	2505	12	2517	calc_nivel_confianza-88
8	2505	12	2517	calc_nivel_confianza-78
12	2506	12	2518	calc_nivel_confianza-83
12	2506	12	2518	calc_nivel_confianza-84
12	2506	12	2518	calc_nivel_confianza-85
16	2506	12	2518	calc_nivel_confianza-87
16	2507	12	2519	calc_nivel_confianza-89
4	2507	12	2519	calc_nivel_confianza-95
20	2507	12	2519	calc_nivel_confianza-93
16	2507	12	2519	calc_nivel_confianza-86
8	2508	12	2520	calc_nivel_confianza-99
20	2508	12	2520	calc_nivel_confianza-90
20	2508	12	2520	calc_nivel_confianza-92
20	2508	12	2520	calc_nivel_confianza-91
8	2509	12	2521	calc_nivel_confianza-100
8	2509	12	2521	calc_nivel_confianza-98
4	2509	12	2521	calc_nivel_confianza-97
4	2509	12	2521	calc_nivel_confianza-96
8	2510	12	2522	calc_nivel_confianza-610
16	2510	12	2522	calc_nivel_confianza-618
4	2510	12	2522	calc_nivel_confianza-94
12	2510	12	2522	calc_nivel_confianza-612
12	2511	12	2523	calc_nivel_confianza-614
12	2511	12	2523	calc_nivel_confianza-611
16	2511	12	2523	calc_nivel_confianza-615
12	2511	12	2523	calc_nivel_confianza-613
16	2512	12	2524	calc_nivel_confianza-616
20	2512	12	2524	calc_nivel_confianza-619
20	2512	12	2524	calc_nivel_confianza-621
20	2512	12	2524	calc_nivel_confianza-622
4	2513	12	2525	calc_nivel_confianza-626
4	2513	12	2525	calc_nivel_confianza-624
16	2513	12	2525	calc_nivel_confianza-617
20	2513	12	2525	calc_nivel_confianza-620
8	2514	12	2526	calc_nivel_confianza-627
4	2514	12	2526	calc_nivel_confianza-623
4	2514	12	2526	calc_nivel_confianza-625
8	2514	12	2526	calc_nivel_confianza-630
12	2515	12	2527	calc_nivel_confianza-632
8	2515	12	2527	calc_nivel_confianza-629
8	2515	12	2527	calc_nivel_confianza-628
12	2515	12	2527	calc_nivel_confianza-634
12	2516	12	2528	calc_nivel_confianza-633
16	2516	12	2528	calc_nivel_confianza-637
12	2516	12	2528	calc_nivel_confianza-631
16	2516	12	2528	calc_nivel_confianza-636
16	2517	12	2529	calc_nivel_confianza-635
16	2517	12	2529	calc_nivel_confianza-638
20	2517	12	2529	calc_nivel_confianza-639
20	2517	12	2529	calc_nivel_confianza-642
20	2518	12	2530	calc_nivel_confianza-641
4	2518	12	2530	calc_nivel_confianza-645
20	2518	12	2530	calc_nivel_confianza-640
4	2518	12	2530	calc_nivel_confianza-646
8	2519	12	2531	calc_nivel_confianza-647
8	2519	12	2531	calc_nivel_confianza-648
4	2519	12	2531	calc_nivel_confianza-643
4	2519	12	2531	calc_nivel_confianza-644
12	2520	12	2532	calc_nivel_confianza-652
8	2520	12	2532	calc_nivel_confianza-650
12	2520	12	2532	calc_nivel_confianza-653
8	2520	12	2532	calc_nivel_confianza-649
12	2521	12	2533	calc_nivel_confianza-654
16	2521	12	2533	calc_nivel_confianza-656
16	2521	12	2533	calc_nivel_confianza-655
16	2521	12	2533	calc_nivel_confianza-657
16	2522	12	2534	calc_nivel_confianza-658
12	2522	12	2534	calc_nivel_confianza-651
20	2522	12	2534	calc_nivel_confianza-660
4	2522	12	2534	calc_nivel_confianza-666
20	2523	12	2535	calc_nivel_confianza-659
20	2523	12	2535	calc_nivel_confianza-661
4	2523	12	2535	calc_nivel_confianza-663
4	2523	12	2535	calc_nivel_confianza-665
8	2524	12	2536	calc_nivel_confianza-669
4	2524	12	2536	calc_nivel_confianza-664
20	2524	12	2536	calc_nivel_confianza-662
8	2524	12	2536	calc_nivel_confianza-667
12	2525	12	2537	calc_nivel_confianza-671
8	2525	12	2537	calc_nivel_confianza-668
12	2525	12	2537	calc_nivel_confianza-672
8	2525	12	2537	calc_nivel_confianza-670
20	2526	12	2538	calc_nivel_confianza-680
12	2526	12	2538	calc_nivel_confianza-673
12	2526	12	2538	calc_nivel_confianza-674
16	2526	12	2538	calc_nivel_confianza-678
16	2527	12	2539	calc_nivel_confianza-676
16	2527	12	2539	calc_nivel_confianza-677
16	2527	12	2539	calc_nivel_confianza-675
20	2527	12	2539	calc_nivel_confianza-682
20	2528	12	2540	calc_nivel_confianza-681
4	2528	12	2540	calc_nivel_confianza-683
20	2528	12	2540	calc_nivel_confianza-679
4	2528	12	2540	calc_nivel_confianza-686
4	2529	12	2541	calc_nivel_confianza-685
8	2529	12	2541	calc_nivel_confianza-689
4	2529	12	2541	calc_nivel_confianza-684
8	2529	12	2541	calc_nivel_confianza-690
12	2530	12	2542	calc_nivel_confianza-694
8	2530	12	2542	calc_nivel_confianza-688
12	2530	12	2542	calc_nivel_confianza-691
8	2530	12	2542	calc_nivel_confianza-687
12	2531	12	2543	calc_nivel_confianza-692
16	2531	12	2543	calc_nivel_confianza-695
12	2531	12	2543	calc_nivel_confianza-693
16	2531	12	2543	calc_nivel_confianza-696
16	2532	12	2544	calc_nivel_confianza-697
19	2531	12	2543	calc_nivel_confianza-101
16	2532	12	2544	calc_nivel_confianza-698
19	2531	12	2543	calc_nivel_confianza-102
20	2533	12	2545	calc_nivel_confianza-699
20	2533	12	2545	calc_nivel_confianza-100
3	2532	12	2544	calc_nivel_confianza-136
3	2532	12	2544	calc_nivel_confianza-137
3	2533	12	2545	calc_nivel_confianza-139
7	2533	12	2545	calc_nivel_confianza-140
7	2533	12	2545	calc_nivel_confianza-141
7	2533	12	2545	calc_nivel_confianza-143
11	2534	12	2546	calc_nivel_confianza-144
3	2534	12	2546	calc_nivel_confianza-138
15	2534	12	2546	calc_nivel_confianza-148
7	2534	12	2546	calc_nivel_confianza-142
11	2535	12	2547	calc_nivel_confianza-146
15	2535	12	2547	calc_nivel_confianza-150
11	2535	12	2547	calc_nivel_confianza-147
11	2535	12	2547	calc_nivel_confianza-145
15	2536	12	2548	calc_nivel_confianza-151
19	2536	12	2548	calc_nivel_confianza-153
19	2536	12	2548	calc_nivel_confianza-152
15	2536	12	2548	calc_nivel_confianza-149
3	2537	12	2549	calc_nivel_confianza-158
19	2537	12	2549	calc_nivel_confianza-154
3	2537	12	2549	calc_nivel_confianza-159
19	2537	12	2549	calc_nivel_confianza-155
7	2538	12	2550	calc_nivel_confianza-160
3	2538	12	2550	calc_nivel_confianza-157
7	2538	12	2550	calc_nivel_confianza-162
7	2538	12	2550	calc_nivel_confianza-161
3	2539	12	2551	calc_nivel_confianza-156
11	2539	12	2551	calc_nivel_confianza-213
7	2539	12	2551	calc_nivel_confianza-163
11	2539	12	2551	calc_nivel_confianza-215
15	2540	12	2552	calc_nivel_confianza-219
11	2540	12	2552	calc_nivel_confianza-214
15	2540	12	2552	calc_nivel_confianza-216
19	2540	12	2552	calc_nivel_confianza-223
3	2541	12	2553	calc_nivel_confianza-225
11	2541	12	2553	calc_nivel_confianza-164
15	2541	12	2553	calc_nivel_confianza-217
19	2541	12	2553	calc_nivel_confianza-221
19	2542	12	2554	calc_nivel_confianza-220
19	2542	12	2554	calc_nivel_confianza-222
15	2542	12	2554	calc_nivel_confianza-218
3	2542	12	2554	calc_nivel_confianza-224
7	2543	12	2555	calc_nivel_confianza-229
3	2543	12	2555	calc_nivel_confianza-226
3	2543	12	2555	calc_nivel_confianza-227
7	2543	12	2555	calc_nivel_confianza-228
11	2544	12	2556	calc_nivel_confianza-234
7	2544	12	2556	calc_nivel_confianza-231
11	2544	12	2556	calc_nivel_confianza-233
7	2544	12	2556	calc_nivel_confianza-230
15	2545	12	2557	calc_nivel_confianza-237
11	2545	12	2557	calc_nivel_confianza-235
11	2545	12	2557	calc_nivel_confianza-232
15	2545	12	2557	calc_nivel_confianza-239
3	2546	12	2558	calc_nivel_confianza-247
19	2546	12	2558	calc_nivel_confianza-243
15	2546	12	2558	calc_nivel_confianza-236
15	2546	12	2558	calc_nivel_confianza-238
19	2547	12	2559	calc_nivel_confianza-241
3	2547	12	2559	calc_nivel_confianza-245
7	2547	12	2559	calc_nivel_confianza-251
19	2547	12	2559	calc_nivel_confianza-240
3	2548	12	2560	calc_nivel_confianza-244
11	2548	12	2560	calc_nivel_confianza-255
19	2548	12	2560	calc_nivel_confianza-242
3	2548	12	2560	calc_nivel_confianza-246
7	2549	12	2561	calc_nivel_confianza-250
15	2549	12	2561	calc_nivel_confianza-259
7	2549	12	2561	calc_nivel_confianza-249
11	2549	12	2561	calc_nivel_confianza-254
15	2550	12	2562	calc_nivel_confianza-257
7	2550	12	2562	calc_nivel_confianza-248
11	2550	12	2562	calc_nivel_confianza-253
11	2550	12	2562	calc_nivel_confianza-252
15	2551	12	2563	calc_nivel_confianza-256
19	2551	12	2563	calc_nivel_confianza-262
19	2551	12	2563	calc_nivel_confianza-261
19	2551	12	2563	calc_nivel_confianza-263
3	2552	12	2564	calc_nivel_confianza-266
19	2552	12	2564	calc_nivel_confianza-260
7	2552	12	2564	calc_nivel_confianza-268
15	2552	12	2564	calc_nivel_confianza-258
3	2553	12	2565	calc_nivel_confianza-267
3	2553	12	2565	calc_nivel_confianza-264
3	2553	12	2565	calc_nivel_confianza-265
7	2553	12	2565	calc_nivel_confianza-270
11	2554	12	2566	calc_nivel_confianza-272
7	2554	12	2566	calc_nivel_confianza-271
15	2554	12	2566	calc_nivel_confianza-277
7	2554	12	2566	calc_nivel_confianza-269
11	2555	12	2567	calc_nivel_confianza-274
11	2555	12	2567	calc_nivel_confianza-275
15	2555	12	2567	calc_nivel_confianza-278
19	2555	12	2567	calc_nivel_confianza-281
15	2556	12	2568	calc_nivel_confianza-279
19	2556	12	2568	calc_nivel_confianza-280
11	2556	12	2568	calc_nivel_confianza-273
15	2556	12	2568	calc_nivel_confianza-276
3	2557	12	2569	calc_nivel_confianza-286
19	2557	12	2569	calc_nivel_confianza-282
19	2557	12	2569	calc_nivel_confianza-283
7	2557	12	2569	calc_nivel_confianza-290
3	2558	12	2570	calc_nivel_confianza-284
3	2558	12	2570	calc_nivel_confianza-285
7	2558	12	2570	calc_nivel_confianza-291
3	2558	12	2570	calc_nivel_confianza-287
11	2559	12	2571	calc_nivel_confianza-295
11	2559	12	2571	calc_nivel_confianza-294
7	2559	12	2571	calc_nivel_confianza-288
11	2559	12	2571	calc_nivel_confianza-292
15	2560	12	2572	calc_nivel_confianza-299
11	2560	12	2572	calc_nivel_confianza-293
15	2560	12	2572	calc_nivel_confianza-296
7	2560	12	2572	calc_nivel_confianza-289
19	2561	12	2573	calc_nivel_confianza-300
3	2561	12	2573	calc_nivel_confianza-305
15	2561	12	2573	calc_nivel_confianza-298
15	2561	12	2573	calc_nivel_confianza-297
19	2562	12	2574	calc_nivel_confianza-302
3	2562	12	2574	calc_nivel_confianza-307
19	2562	12	2574	calc_nivel_confianza-303
3	2562	12	2574	calc_nivel_confianza-304
19	2563	12	2575	calc_nivel_confianza-301
7	2563	12	2575	calc_nivel_confianza-310
7	2563	12	2575	calc_nivel_confianza-311
3	2563	12	2575	calc_nivel_confianza-306
15	2564	12	2576	calc_nivel_confianza-319
11	2564	12	2576	calc_nivel_confianza-315
7	2564	12	2576	calc_nivel_confianza-308
7	2564	12	2576	calc_nivel_confianza-309
11	2565	12	2577	calc_nivel_confianza-313
11	2565	12	2577	calc_nivel_confianza-314
11	2565	12	2577	calc_nivel_confianza-312
19	2565	12	2577	calc_nivel_confianza-323
15	2566	12	2578	calc_nivel_confianza-317
15	2566	12	2578	calc_nivel_confianza-316
15	2566	12	2578	calc_nivel_confianza-318
3	2566	12	2578	calc_nivel_confianza-327
19	2567	12	2579	calc_nivel_confianza-322
19	2567	12	2579	calc_nivel_confianza-321
19	2567	12	2579	calc_nivel_confianza-320
3	2567	12	2579	calc_nivel_confianza-326
7	2568	12	2580	calc_nivel_confianza-329
3	2568	12	2580	calc_nivel_confianza-325
3	2568	12	2580	calc_nivel_confianza-324
7	2568	12	2580	calc_nivel_confianza-328
11	2569	12	2581	calc_nivel_confianza-335
7	2569	12	2581	calc_nivel_confianza-331
11	2569	12	2581	calc_nivel_confianza-333
7	2569	12	2581	calc_nivel_confianza-330
11	2570	12	2582	calc_nivel_confianza-332
19	2570	12	2582	calc_nivel_confianza-341
15	2570	12	2582	calc_nivel_confianza-337
11	2570	12	2582	calc_nivel_confianza-334
15	2571	12	2583	calc_nivel_confianza-336
19	2571	12	2583	calc_nivel_confianza-342
15	2571	12	2583	calc_nivel_confianza-338
15	2571	12	2583	calc_nivel_confianza-339
3	2572	12	2584	calc_nivel_confianza-347
3	2572	12	2584	calc_nivel_confianza-344
19	2572	12	2584	calc_nivel_confianza-340
19	2572	12	2584	calc_nivel_confianza-343
7	2573	12	2585	calc_nivel_confianza-350
11	2573	12	2585	calc_nivel_confianza-353
7	2573	12	2585	calc_nivel_confianza-348
3	2573	12	2585	calc_nivel_confianza-345
7	2574	12	2586	calc_nivel_confianza-351
15	2574	12	2586	calc_nivel_confianza-357
3	2574	12	2586	calc_nivel_confianza-346
11	2574	12	2586	calc_nivel_confianza-354
11	2575	12	2587	calc_nivel_confianza-355
7	2575	12	2587	calc_nivel_confianza-349
11	2575	12	2587	calc_nivel_confianza-352
19	2575	12	2587	calc_nivel_confianza-360
15	2576	12	2588	calc_nivel_confianza-356
15	2576	12	2588	calc_nivel_confianza-358
19	2576	12	2588	calc_nivel_confianza-362
15	2576	12	2588	calc_nivel_confianza-359
19	2577	12	2589	calc_nivel_confianza-361
3	2577	12	2589	calc_nivel_confianza-365
19	2577	12	2589	calc_nivel_confianza-363
3	2577	12	2589	calc_nivel_confianza-367
3	2578	12	2590	calc_nivel_confianza-366
3	2578	12	2590	calc_nivel_confianza-364
0	2967	30	2997	calc_premio-2
0	2967	30	2997	calc_premio-1
0	2968	30	2998	calc_premio-4
0	2968	30	2998	calc_premio-3
4	2969	30	2999	calc_premio-48
4	2969	30	2999	calc_premio-47
4	2970	30	3000	calc_premio-45
4	2970	30	3000	calc_premio-46
4	2971	30	3001	calc_premio-28
4	2971	30	3001	calc_premio-26
4	2972	30	3002	calc_premio-25
4	2972	30	3002	calc_premio-27
4	2973	30	3003	calc_premio-7
4	2973	30	3003	calc_premio-5
4	2974	30	3004	calc_premio-8
4	2974	30	3004	calc_premio-6
8	2975	30	3005	calc_premio-52
8	2975	30	3005	calc_premio-51
8	2976	30	3006	calc_premio-50
8	2976	30	3006	calc_premio-49
8	2977	30	3007	calc_premio-30
8	2977	30	3007	calc_premio-29
8	2978	30	3008	calc_premio-31
8	2978	30	3008	calc_premio-32
8	2979	30	3009	calc_premio-10
8	2979	30	3009	calc_premio-12
